Feature,Importance
study_efficiency,0.46635529757788596
Study_Hours,0.09870844114185179
Explanation_Quality,0.07909053705171058
Concept_Clarity,0.07414264881714538
Previous_Marks,0.06146466637050053
Student_Interaction,0.04836708881888986
teacher_support_score,0.04798272311630416
Attendance,0.028227597394672673
lab_usage,0.013066739238019622
health_factor,0.011114845952526936
Distance_From_School,0.009991024941814577
Peer_Influence,0.009884417286947764
Lab_Facility,0.009565588961161225
Learning_Resources,0.009054498089292042
Gender,0.006989885720066852
Sleep_Hours,0.006901457258290903
Lab_Timing,0.0063849690212705165
Parent_Education,0.006022556176708258
Coaching_Class,0.0023800430902352937
Sports_Activity,0.002342971734802412
Internet_Access,0.0019620022399026104
